T;v_theo;v_minimization;diff
95;0.3;0.3;5.55111512313e-17
90;0.3;0.3;1.11022302463e-16
85;0.3;0.3;1.11022302463e-16
84;0.3;0.3;0
83;0.3;0.3;0
82;0.3;0.376015716168;0.076015716168
81;0.3;0.414662660102;0.114662660102
80;0.3;0.435618525;0.135618525
75;0.3;0.435618525132;0.135618525132
